1.5871581297e+00	1.3910944608e+00	1.4894600324e+00	1.3803036059e+00	1.2486304331e+00	1.2281892686e+00	1.4166798663e+00	
1.4139453970e+00	1.5120958710e+00	1.7141211552e+00	1.4131946777e+00	1.4741593149e+00	1.2378691185e+00	1.2395477746e+00	
1.2820956469e+00	1.4297806617e+00	1.4383049876e+00	1.3389098624e+00	1.2965487098e+00	1.0544475912e+00	
1.6848523081e+00	1.4699921096e+00	1.4703801925e+00	1.5124678576e+00	1.2926071084e+00	1.4831912160e+00	1.4677921080e+00	
1.4370266136e+00	1.2092816802e+00	1.3602204961e+00	1.4231378035e+00	1.1956824578e+00	1.4154296047e+00	1.4926978243e+00	9.8722203345e-01	
1.4738532205e+00	1.3796754613e+00	1.2221567116e+00	1.1028630634e+00	1.0814992721e+00	1.1072666856e+00	
1.4417214569e+00	1.3505567068e+00	1.2945401425e+00	1.2548994648e+00	1.0534114898e+00	1.1409028722e+00	
1.3832273048e+00	1.4337240273e+00	1.3097006623e+00	1.1115840660e+00	1.2827046232e+00	1.1510270428e+00	1.1287615011e+00	
1.3788506370e+00	1.3324972787e+00	1.2817295274e+00	1.4271487971e+00	1.2025775490e+00	1.0482684363e+00	
1.6900497797e+00	1.4611343498e+00	1.5950037015e+00	1.4878142116e+00	1.5222990037e+00	1.5292965741e+00	1.5704853572e+00	
1.5658038377e+00	1.7410495664e+00	1.4376472986e+00	1.6443866958e+00	1.5255907235e+00	1.4825089155e+00	1.3856853168e+00	
1.3024678621e+00	1.3498952529e+00	1.3185107372e+00	1.1061148366e+00	1.0158058384e+00	1.2148435112e+00	
1.1398623862e+00	1.2473153834e+00	1.5333767552e+00	1.3755430488e+00	1.1031090476e+00	1.1812953582e+00	1.2933343494e+00	
1.4199958527e+00	1.4284049003e+00	1.1474732634e+00	1.3249620663e+00	1.0788659667e+00	1.2174069969e+00	1.2560009235e+00	
1.4482763633e+00	1.2777718218e+00	1.1940014401e+00	1.1965974018e+00	9.6063756883e-01	1.3530539685e+00	
1.4597337381e+00	1.3879236968e+00	1.3229459119e+00	1.2530504421e+00	1.0604464132e+00	1.1058898169e+00	
1.3984678000e+00	1.3627059278e+00	1.1676008475e+00	1.1103427668e+00	1.0527644669e+00	9.8551549963e-01	
1.4121771948e+00	1.2514438451e+00	1.2826426216e+00	1.3513105979e+00	1.3183850370e+00	1.2394383731e+00	
1.1762287802e+00	1.2123923447e+00	1.1261817754e+00	9.8648605737e-01	1.0359452493e+00	9.6300217822e-01	
1.2879301530e+00	1.4207302319e+00	1.2416029078e+00	1.3009567381e+00	1.2264956195e+00	1.0196516265e+00	
1.4402296066e+00	1.3936804565e+00	1.2452977705e+00	1.2587545167e+00	1.2252683771e+00	1.0435674725e+00	
1.2057651946e+00	1.2527311141e+00	1.2406716574e+00	1.1937111106e+00	1.0879886027e+00	1.1339418702e+00	
1.4013632403e+00	1.2339178380e+00	1.2983921171e+00	1.3341099418e+00	1.2522481948e+00	1.1459358513e+00	
1.2046187721e+00	1.0923275105e+00	1.0971262812e+00	8.1402390404e-01	9.6323663132e-01	
1.1628031961e+00	1.2170314240e+00	1.2283293631e+00	1.2462616643e+00	1.0267068373e+00	1.2367194697e+00	
1.1310465759e+00	1.2925240912e+00	1.1195996073e+00	1.0114184914e+00	9.4112208358e-01	7.4247447841e-01	
1.0859775066e+00	1.0748967306e+00	9.5188309201e-01	9.4595242243e-01	8.1738352871e-01	
1.2821452173e+00	1.0505292171e+00	1.4885298796e+00	1.1658853416e+00	1.0218162310e+00	1.1746359995e+00	
1.3400534094e+00	1.3006587885e+00	1.2314087032e+00	1.3695848578e+00	1.3281177082e+00	1.1409387109e+00	
1.3881302969e+00	1.1688433725e+00	1.2651676663e+00	1.1514479526e+00	1.1942117316e+00	1.2205232534e+00	
1.0801250683e+00	8.1443329817e-01	9.9475129034e-01	9.3611199940e-01	9.9259151239e-01	
1.1208776342e+00	9.3195165133e-01	8.3418248467e-01	9.7254700763e-01	9.4601817008e-01	
1.5605241511e+00	1.6862221733e+00	1.4544804515e+00	1.3093210117e+00	1.4128324279e+00	1.2685364559e+00	
1.6568901053e+00	1.3582773960e+00	1.7256043149e+00	1.6201500043e+00	1.3080385191e+00	1.2395498789e+00	1.4414391592e+00	
1.4544278925e+00	1.4196618296e+00	1.2669160772e+00	1.2554988439e+00	1.1194797041e+00	1.1101005766e+00	
1.4026539949e+00	1.5145643405e+00	1.5534411503e+00	1.2742730431e+00	1.2614138430e+00	1.3337078751e+00	1.0012109088e+00	1.3027820876e+00	
1.4588508214e+00	1.6687362366e+00	1.4397404688e+00	1.3836959041e+00	1.4776337489e+00	1.2227320030e+00	9.7729738174e-01	
1.3141010034e+00	1.7358181514e+00	1.6795495244e+00	1.5604827179e+00	1.3170124150e+00	1.5228681792e+00	9.9363958510e-01	
1.1252687572e+00	1.3248131688e+00	1.4113681825e+00	1.2834176799e+00	1.4361953255e+00	1.2461942629e+00	
1.0254619429e+00	1.5110219824e+00	1.4118740883e+00	1.4063318554e+00	1.0095688262e+00	1.0711158602e+00	
9.7359753913e-01	1.4789993188e+00	1.3264281261e+00	1.1294177772e+00	1.3361377035e+00	
1.5168948638e+00	1.3461601972e+00	1.1856714541e+00	1.2503295448e+00	1.2011276947e+00	1.0250202476e+00	
1.5604122385e+00	1.2127697056e+00	1.2790341246e+00	1.2966850002e+00	1.0053535427e+00	1.2315976484e+00	
1.4135213979e+00	1.2154654210e+00	1.1866833011e+00	1.2022053109e+00	1.2332897705e+00	1.0367602618e+00	
1.6194057807e+00	1.0921367615e+00	1.3309672418e+00	1.2110577540e+00	1.5001176715e+00	1.1287135852e+00	
1.1708546495e+00	1.0697409271e+00	1.0254346640e+00	1.0478307416e+00	1.1678175199e+00	1.1141476821e+00	
1.5505859592e+00	1.2686526984e+00	1.2202174149e+00	1.0643832030e+00	1.3661062995e+00	
