1.5658973103e+00 	1.4815998353e+00 	1.3946268852e+00 	1.4849262278e+00 	1.4012323798e+00 	1.1131275794e+00 	
1.2163463835e+00 	1.1967316166e+00 	1.1837153189e+00 	1.0756360545e+00 	1.1924182681e+00 	7.6973587067e-01 	
1.3135631067e+00 	1.1863315794e+00 	1.1507810941e+00 	1.4230621280e+00 	1.2829095798e+00 	1.2119350280e+00 	
1.3525930281e+00 	1.4394386644e+00 	1.2394468308e+00 	1.1206386941e+00 	1.1533114112e+00 	1.0921680607e+00 	
1.6384151588e+00 	1.5942808924e+00 	1.4107155099e+00 	1.3060874223e+00 	1.1745565814e+00 	1.2413994153e+00 	1.2629580232e+00 	
1.5522322434e+00 	1.5312986175e+00 	1.6716869961e+00 	1.5451763392e+00 	1.1613708435e+00 	1.2762241109e+00 	
1.5805847454e+00 	1.1432536150e+00 	1.1430640358e+00 	1.1815670735e+00 	1.2347965808e+00 	1.0463376186e+00 	
1.6996868872e+00 	1.3163940701e+00 	1.6186774147e+00 	1.7011734054e+00 	1.4489591019e+00 	1.5870009467e+00 	1.6134264660e+00 	
1.4410483717e+00 	1.3335648918e+00 	1.5437573985e+00 	1.2737773401e+00 	1.4669387676e+00 	1.2175325394e+00 	1.1395975931e+00 	
1.3604914776e+00 	8.1190101824e-01 	1.1139025661e+00 	1.1729635530e+00 	9.1582714253e-01 	
1.2906291384e+00 	9.0855278979e-01 	1.4412315633e+00 	1.1951757681e+00 	1.1980635559e+00 	
1.1330562978e+00 	1.2215196031e+00 	1.2777780464e+00 	1.1434178731e+00 	1.1386298037e+00 	9.9665454144e-01 	
9.8619377015e-01 	8.6366590575e-01 	1.2611353078e+00 	9.9013787851e-01 	9.4540868641e-01 	
1.1048599753e+00 	1.1586159224e+00 	1.1672188024e+00 	1.1240278805e+00 	8.1668820309e-01 	1.1269987745e+00 	
1.1403563135e+00 	9.5962726236e-01 	1.0533882849e+00 	1.1488818129e+00 	1.1304036333e+00 	1.0297917530e+00 	
1.3799791382e+00 	1.2119181627e+00 	9.5732665332e-01 	9.3857554342e-01 	9.5594073357e-01 	9.1854808308e-01 	
1.3973855062e+00 	1.1125693227e+00 	1.4220100316e+00 	1.3558812519e+00 	1.0566097523e+00 	1.1225892051e+00 	
1.0373022487e+00 	9.5328918366e-01 	1.0270842219e+00 	9.6792518922e-01 	9.1035908273e-01 	
1.3656630283e+00 	1.3592466417e+00 	8.7600019530e-01 	8.7563754245e-01 	1.0637833626e+00 	
1.7327627382e+00 	1.4562359232e+00 	1.4474851656e+00 	1.3723867236e+00 	1.3880705093e+00 	1.1555948436e+00 	1.2925510879e+00 	
1.3352262006e+00 	1.4139563863e+00 	1.2289050663e+00 	1.3745586759e+00 	1.2259826051e+00 	1.1557745374e+00 	1.2044124000e+00 	
1.5890543634e+00 	1.5187160711e+00 	1.5808774139e+00 	1.4239966394e+00 	1.4460118923e+00 	1.4482047795e+00 	1.2476806555e+00 	
1.5221354609e+00 	1.3275197279e+00 	1.4517624309e+00 	1.2784836358e+00 	1.1230993468e+00 	1.2616621462e+00 	
1.7172427683e+00 	1.5302497024e+00 	1.6997093677e+00 	1.2329261006e+00 	1.3248307122e+00 	1.2461959466e+00 	1.4066786590e+00 	1.5073230201e+00 	
1.2310186390e+00 	1.5166152866e+00 	1.0682725696e+00 	1.2621859019e+00 	1.2870231114e+00 	1.1981199419e+00 	
1.2284856329e+00 	1.5334372865e+00 	1.0718871485e+00 	1.2524153298e+00 	1.2820517573e+00 	1.1660503139e+00 	
1.3783259664e+00 	1.2112113347e+00 	1.1357278068e+00 	1.2018333706e+00 	1.2820517573e+00 	1.4572039002e+00 	
1.3886495376e+00 	1.1921919402e+00 	1.1358400848e+00 	1.2040305091e+00 	1.2870231114e+00 	1.4140162202e+00 	
1.5871581300e+00 	1.3910944608e+00 	1.4894600324e+00 	1.3803036059e+00 	1.2486304336e+00 	1.2281892685e+00 	1.4166798663e+00 	
1.4139453968e+00 	1.5120958712e+00 	1.7141211561e+00 	1.4131946778e+00 	1.4741593145e+00 	1.2378691186e+00 	1.2395477746e+00 	
1.2820956473e+00 	1.4297806616e+00 	1.4383049878e+00 	1.3389098629e+00 	1.2965487098e+00 	1.0544475914e+00 	
1.6848523087e+00 	1.4699921099e+00 	1.4703801928e+00 	1.5124678574e+00 	1.2926071084e+00 	1.4831912163e+00 	1.4677921076e+00 	
1.4370266132e+00 	1.2092816795e+00 	1.3602204968e+00 	1.4231378043e+00 	1.1956824576e+00 	1.4154296050e+00 	1.4926978245e+00 	9.8722203392e-01 	
1.4738532202e+00 	1.3796754615e+00 	1.2221567111e+00 	1.1028630639e+00 	1.0814992720e+00 	1.1072666858e+00 	
1.4417214569e+00 	1.3505567069e+00 	1.2945401426e+00 	1.2548994647e+00 	1.0534114894e+00 	1.1409028720e+00 	
1.3832273044e+00 	1.4337240268e+00 	1.3097006621e+00 	1.1115840657e+00 	1.2827046223e+00 	1.1510270430e+00 	1.1287615020e+00 	
1.3788506372e+00 	1.3324972784e+00 	1.2817295275e+00 	1.4271487973e+00 	1.2025775487e+00 	1.0482684365e+00 	
1.6900497799e+00 	1.4611343505e+00 	1.5950037011e+00 	1.4878142124e+00 	1.5222990045e+00 	1.5292965734e+00 	1.5704853566e+00 	
1.5658038378e+00 	1.7410495663e+00 	1.4376472982e+00 	1.6443866962e+00 	1.5255907235e+00 	1.4825089151e+00 	1.3856853172e+00 	
1.3024678626e+00 	1.3498952527e+00 	1.3185107366e+00 	1.1061148365e+00 	1.0158058384e+00 	1.2148435115e+00 	
1.1398623868e+00 	1.2473153833e+00 	1.5333767550e+00 	1.3755430488e+00 	1.1031090477e+00 	1.1812953580e+00 	1.2933343495e+00 	
1.4199958528e+00 	1.4284049006e+00 	1.1474732631e+00 	1.3249620661e+00 	1.0788659665e+00 	1.2174069972e+00 	1.2560009236e+00 	
1.4482763641e+00 	1.2777718219e+00 	1.1940014404e+00 	1.1965974014e+00 	9.6063756886e-01 	1.3530539682e+00 	
1.4597337385e+00 	1.3879236967e+00 	1.3229459118e+00 	1.2530504427e+00 	1.0604464127e+00 	1.1058898162e+00 	
1.3984678004e+00 	1.3627059279e+00 	1.1676008471e+00 	1.1103427671e+00 	1.0527644660e+00 	9.8551549991e-01 	
1.4121771953e+00 	1.2514438457e+00 	1.2826426215e+00 	1.3513105974e+00 	1.3183850376e+00 	1.2394383733e+00 	
1.1762287804e+00 	1.2123923448e+00 	1.1261817751e+00 	9.8648605752e-01 	1.0359452494e+00 	9.6300217818e-01 	
1.2879301531e+00 	1.4207302320e+00 	1.2416029080e+00 	1.3009567379e+00 	1.2264956192e+00 	1.0196516264e+00 	
1.4402296066e+00 	1.3936804566e+00 	1.2452977705e+00 	1.2587545164e+00 	1.2252683771e+00 	1.0435674729e+00 	
1.2057651944e+00 	1.2527311145e+00 	1.2406716570e+00 	1.1937111105e+00 	1.0879886029e+00 	1.1339418702e+00 	
1.4013632402e+00 	1.2339178380e+00 	1.2983921169e+00 	1.3341099423e+00 	1.2522481947e+00 	1.1459358514e+00 	
1.2046187718e+00 	1.0923275109e+00 	1.0971262811e+00 	8.1402390459e-01 	9.6323663091e-01 	
1.1628031961e+00 	1.2170314239e+00 	1.2283293631e+00 	1.2462616643e+00 	1.0267068373e+00 	1.2367194697e+00 	
1.1310465759e+00 	1.2925240914e+00 	1.1195996076e+00 	1.0114184915e+00 	9.4112208379e-01 	7.4247447839e-01 	
1.0859775066e+00 	1.0748967308e+00 	9.5188309140e-01 	9.4595242228e-01 	8.1738352883e-01 	
1.2821452170e+00 	1.0505292173e+00 	1.4885298792e+00 	1.1658853419e+00 	1.0218162305e+00 	1.1746359997e+00 	
1.3400534097e+00 	1.3006587883e+00 	1.2314087036e+00 	1.3695848575e+00 	1.3281177078e+00 	1.1409387113e+00 	
1.3881302967e+00 	1.1688433725e+00 	1.2651676654e+00 	1.1514479529e+00 	1.1942117315e+00 	1.2205232535e+00 	
1.0801250679e+00 	8.1443329869e-01 	9.9475129108e-01 	9.3611199898e-01 	9.9259151238e-01 	
1.1208776342e+00 	9.3195165124e-01 	8.3418248449e-01 	9.7254700752e-01 	9.4601816968e-01 	
